! BaseLine Calibration Data
!
!06/25/20; 00:22:27
!Linear Sweep; Path 4; S21Jig=Series; S21JigR0=50
# MHz S DB R 50
! MHz  S21_DB  S21_Degrees
10.7 -21.86842 -163.85
10.700125 -21.92857 -163.14
10.70025 -21.79699 -164.01
10.700375 -21.86842 -163.66
10.7005 -21.88722 -164.23
10.700625 -21.85338 -163.74
10.70075 -21.84586 -164.02
10.700875 -21.71429 -163.89
10.701 -21.85714 -163.6
10.701125 -21.8797 -163
10.70125 -21.81203 -164.15
10.701375 -21.8797 -164.02
10.7015 -21.90226 -163.47
10.701625 -21.85338 -164.63
10.70175 -21.79699 -164.33
10.701875 -21.90602 -162.91
10.702 -21.88346 -163.65
10.702125 -21.83835 -163.91
10.70225 -21.71805 -164.36
10.702375 -21.91729 -163.23
10.7025 -21.85338 -163.69
10.702625 -21.80075 -164
10.70275 -21.80075 -163.03
10.702875 -21.92857 -163.28
10.703 -21.81955 -163.52
10.703125 -21.83083 -163.6
10.70325 -21.71429 -164.42
10.703375 -21.87218 -163.7
10.7035 -21.87594 -163.64
10.703625 -21.80451 -164.01
10.70375 -21.93233 -163.46
10.703875 -21.90977 -163.59
10.704 -21.80827 -164.03
10.704125 -21.88346 -163.65
10.70425 -21.95489 -163.45
10.704375 -21.81579 -163.58
10.7045 -21.80451 -164.14
10.704625 -21.72556 -164.44
10.70475 -21.86842 -163.78
10.704875 -21.89474 -163.22
10.705 -21.7594 -163.72
10.705125 -21.93609 -163.64
10.70525 -21.88722 -163.36
10.705375 -21.82331 -163.95
10.7055 -21.83835 -164.1
10.705625 -21.78195 -164.13
10.70575 -21.84962 -163.88
10.705875 -21.83835 -162.86
10.706 -21.85714 -163.92
10.706125 -21.86466 -163.56
10.70625 -21.90226 -163.68
10.706375 -21.80451 -163.8
10.7065 -21.90602 -163.63
10.706625 -21.8797 -163.83
10.70675 -21.80075 -163.85
10.706875 -21.85338 -164.24
10.707 -21.80451 -163.51
10.707125 -21.81955 -163.68
10.70725 -21.88346 -163.17
10.707375 -21.85338 -163.16
10.7075 -21.8985 -163.24
10.707625 -21.88346 -163.01
10.70775 -21.7782 -163.57
10.707875 -21.86466 -162.88
10.708 -21.80827 -164.44
10.708125 -21.84962 -163.39
10.70825 -21.81579 -164.09
10.708375 -21.81579 -164.03
10.7085 -21.81203 -163.67
10.708625 -21.89474 -163.74
10.70875 -21.90602 -163.88
10.708875 -21.93233 -163.15
10.709 -21.81203 -164.31
10.709125 -21.87594 -164.25
10.70925 -21.92481 -163.42
10.709375 -21.82331 -163.31
10.7095 -21.84962 -163.64
10.709625 -21.78571 -163.29
10.70975 -21.84211 -163.46
10.709875 -21.86466 -163.3
10.71 -21.90977 -163.56
10.710125 -21.86842 -163.29
10.71025 -21.91729 -163.81
10.710375 -21.78195 -163.67
10.7105 -21.82707 -164.15
10.710625 -21.86842 -163.86
10.71075 -21.84586 -163.57
10.710875 -21.83835 -163.93
10.711 -21.94737 -162.72
10.711125 -21.84211 -163.51
10.71125 -21.83835 -163.85
10.711375 -21.76692 -164.05
10.7115 -21.81203 -163.46
10.711625 -21.8609 -163.34
10.71175 -21.78947 -163.82
10.711875 -21.82331 -164.13
10.712 -21.91353 -163.8
10.712125 -21.83459 -164.07
10.71225 -21.80451 -163.81
10.712375 -21.95113 -163.57
10.7125 -21.83835 -163.97
10.712625 -21.85714 -163.62
10.71275 -21.74812 -164.09
10.712875 -21.87218 -163.44
10.713 -21.93233 -163.55
10.713125 -21.80075 -163.34
10.71325 -21.84211 -163.5
10.713375 -21.8985 -163.16
10.7135 -21.74436 -163.89
10.713625 -21.86842 -163.83
10.71375 -21.86842 -163.8
10.713875 -21.90226 -163.59
10.714 -21.83459 -164.14
10.714125 -21.7782 -163.71
10.71425 -21.90226 -163.38
10.714375 -21.90226 -164.13
10.7145 -21.80451 -163.82
10.714625 -21.93609 -163.35
10.71475 -21.81579 -164.5
10.714875 -21.81955 -164.62
10.715 -21.84962 -164.34
10.715125 -21.84962 -163.37
10.71525 -21.8609 -163.39
10.715375 -21.85714 -163.1
10.7155 -21.78195 -164.3
10.715625 -21.96241 -163.73
10.71575 -21.88346 -163.78
10.715875 -21.81955 -164.13
10.716 -21.94361 -163.14
10.716125 -21.84586 -163.87
10.71625 -21.83459 -163.72
10.716375 -21.8609 -164.22
10.7165 -21.88722 -163.95
10.716625 -21.82707 -163.7
10.71675 -21.8985 -164.05
10.716875 -21.85338 -164.46
10.717 -21.90602 -164.23
10.717125 -21.80827 -164.2
10.71725 -21.82707 -163.71
10.717375 -21.92857 -163.4
10.7175 -21.81955 -163.85
10.717625 -21.8609 -163.28
10.71775 -21.89098 -163.61
10.717875 -21.84211 -164.02
10.718 -21.8797 -164
10.718125 -21.88722 -163.75
10.71825 -21.73684 -164.54
10.718375 -21.85714 -163.76
10.7185 -21.76692 -164.21
10.718625 -21.80075 -164.4
10.71875 -21.91353 -162.97
10.718875 -21.80075 -163.49
10.719 -21.83459 -162.96
10.719125 -21.88346 -163.09
10.71925 -21.93985 -163.44
10.719375 -21.86842 -163.7
10.7195 -21.84586 -164.41
10.719625 -21.8797 -163.47
10.71975 -21.90226 -163.25
10.719875 -21.80827 -164.24
10.72 -21.82707 -164.18
10.720125 -21.91353 -163.73
10.72025 -21.80075 -163.75
10.720375 -21.88346 -163.67
10.7205 -21.86842 -163.52
10.720625 -21.88722 -164.18
10.72075 -21.89474 -163.86
10.720875 -21.79699 -164.31
10.721 -21.92481 -162.49
10.721125 -21.79323 -163.77
10.72125 -21.76692 -163.73
10.721375 -21.80827 -163.7
10.7215 -21.93985 -163.2
10.721625 -21.89098 -164.07
10.72175 -21.89098 -163.54
10.721875 -21.72932 -164.12
10.722 -21.88722 -164.08
10.722125 -21.87594 -163.89
10.72225 -21.75564 -164.4
10.722375 -21.95865 -163.78
10.7225 -21.98496 -163.52
10.722625 -21.85338 -164.05
10.72275 -21.83835 -163.89
10.722875 -21.87594 -163.73
10.723 -21.89474 -163.87
10.723125 -21.83459 -163.75
10.72325 -21.81955 -163.88
10.723375 -21.8985 -163.48
10.7235 -21.90226 -162.97
10.723625 -21.78571 -163.54
10.72375 -21.92857 -163.5
10.723875 -21.86466 -163.98
10.724 -21.84962 -163.46
10.724125 -21.87218 -163.7
10.72425 -21.83835 -164.13
10.724375 -21.87594 -163.19
10.7245 -21.93985 -163.85
10.724625 -21.87218 -163.5
10.72475 -21.8609 -163.63
10.724875 -21.90226 -163.78
10.725 -21.84211 -164.22
10.725125 -21.8985 -163.67
10.72525 -21.78195 -163.79
10.725375 -21.8797 -164.01
10.7255 -21.84211 -163.5
10.725625 -21.88346 -163.71
10.72575 -21.85714 -164.28
10.725875 -21.8797 -163.45
10.726 -21.8797 -163.51
10.726125 -21.87218 -163.71
10.72625 -21.88346 -163.41
10.726375 -21.81203 -163.89
10.7265 -21.93985 -163.55
10.726625 -21.78195 -163.98
10.72675 -21.80827 -164.05
10.726875 -21.8609 -164.08
10.727 -21.86842 -164.07
10.727125 -21.88346 -164
10.72725 -21.88722 -163.72
10.727375 -21.8985 -163.86
10.7275 -21.91353 -163.39
10.727625 -21.79699 -164.47
10.72775 -21.86842 -163.79
10.727875 -21.94361 -163.75
10.728 -21.81955 -163.42
10.728125 -21.82707 -163.84
10.72825 -21.90602 -163.3
10.728375 -21.84586 -164.44
10.7285 -21.89098 -163.65
10.728625 -21.91729 -163.5
10.72875 -21.94361 -163.8
10.728875 -21.87594 -163.73
10.729 -21.78571 -164.43
10.729125 -21.80827 -164.31
10.72925 -21.93609 -163.5
10.729375 -21.80827 -163.9
10.7295 -21.84211 -163.64
10.729625 -21.98872 -163.05
10.72975 -21.86842 -163.85
10.729875 -21.81579 -163.85
10.73 -21.73308 -163.65
10.730125 -21.84962 -163.39
10.73025 -21.91729 -163.55
10.730375 -21.78195 -164.12
10.7305 -21.82331 -163.92
10.730625 -21.95113 -163.28
10.73075 -21.81579 -163.29
10.730875 -21.92481 -163.83
10.731 -21.90226 -164.28
10.731125 -21.78947 -164.3
10.73125 -21.8797 -163.55
10.731375 -21.77444 -163.94
10.7315 -21.92481 -163.64
10.731625 -21.91353 -163.29
10.73175 -21.83083 -163.63
10.731875 -21.78947 -163.62
10.732 -21.93609 -163.72
10.732125 -21.84211 -164.02
10.73225 -21.89474 -163.25
10.732375 -21.81203 -164
10.7325 -21.89098 -163.4
10.732625 -21.88346 -163.5
10.73275 -21.78947 -163.92
10.732875 -21.84211 -164.06
10.733 -21.87594 -163.51
10.733125 -21.79699 -164.42
10.73325 -21.92105 -163.09
10.733375 -21.83459 -164.29
10.7335 -21.84586 -163.75
10.733625 -21.87594 -163.63
10.73375 -21.92105 -164.02
10.733875 -21.86466 -163.98
10.734 -21.86466 -163.91
10.734125 -21.84586 -163.52
10.73425 -21.87218 -163.36
10.734375 -21.95113 -162.65
10.7345 -21.77444 -164.08
