!Transmission line data file
!Type, Z0, VF, K1, K2; K factors based on 100 ft and MHz.
Lossless 50 ohms,50,0.66,0,0
Lossless 75 ohms,75,0.66,0,0
FR4 50-ohm microstrip,50,0.55,0.30,0.076
RG6A,75,0.66,0.263,0.00159
RG8,52,0.66,0.182,0.00309
RG11,75,0.66,0.186,0.0023
RG58,51.5,0.66,0.342,0.00901
RG58C,50,0.66,0.394,0.00901
RG59,73,0.66,0.321,0.00184
RG59B,75,0.66,0.318,0.00192
RG141A,50,0.695,0.26,0.00473
RG174,50,0.66,0.792,0.00484
RG188A,50,0.695,0.953,0.000192
RG213,50,0.66,0.182,0.00309
RG402,50,0.705,0.401,0.00074
RG405,50,0.705,0.67,0.00093
Andrew Heliax LDF4-50A,50,0.891,0.0643,0.000187
Andrew Heliax LDF5-50A,50,0.891,0.0349,0.000153
Andrew Heliax LDF6-50,50,0.891,0.0239,0.00014
ARRL Generic 300,300,0.801,0.102,0.000682
ARRL Generic 450,450,0.911,0.0271,0.000242
Wireman 551,400,0.903,0.0496,0.0012
Wireman 552,370,0.918,0.051,0.001
Wireman 553,390,0.899,0.0621,0.0009
Wireman 554,360,0.929,0.0414,0.0017
