!VNA Trans/Linear/50 to 200/Path 2
RefreshEachScan=1TraceModes=1,1DoHist=0ActiveGraphs=0 1TraceWidths=1 1TraceColors=0 255 255;;255 200 90EndContextStartContext SweepVersion=BmsaMode=VectorTransFreqMode=0BaseFreq=0SpecialGraph=0RLCSpec=0Wait=0PlaneAdj=0Path=2SGPreset=10Offset=0IsTG=1NormRev=0VideoFilter=WideDUTDirection=0GraphData=40 20Autoscale=0 0S21Jig=Series 50 0S11Bridge=50 50 ReflectMinMaxXAxis=50 200MinMaxY1Axis=-180 180MinMaxY2Axis=-100 0IsLinear=1 1 1NumSteps=400SweepDir=1EndContext
! BandSweep Line Calibration Data
!
!07/29/19; 14:59:58
!Linear Sweep; Path 2; S21Jig=Series; S21JigR0=50
# MHz S DB R 50
! MHz  S21_DB  S21_Degrees
50 -21.97699 113.03
50.375 -21.75726 106.4
50.75 -21.60344 101.31
51.125 -21.40934 95.95
51.5 -21.24454 91.19
51.875 -21.10172 86.52
52.25 -21.01016 81.81
52.625 -20.92227 77.44
53 -20.80508 73.29
53.375 -20.70254 69.14
53.75 -20.58901 64.94
54.125 -20.50111 60.88
54.5 -20.39857 56.52
54.875 -20.318 52.51
55.25 -20.24476 48.79
55.625 -20.17518 45.2
56 -20.10193 41.48
56.375 -20.04334 38.16
56.75 -19.98474 34.56
57.125 -19.98108 31.42
57.5 -19.97375 28.51
57.875 -19.92248 25.48
58.25 -19.8529 21.4
58.625 -19.80529 18.37
59 -19.80529 15.41
59.375 -19.80529 12.68
59.75 -19.75036 9.74
60.125 -19.70641 6.87
60.5 -19.65514 4.15
60.875 -19.61486 1.6
61.25 -19.57091 -1.07
61.625 -19.53429 -3.56
62 -19.54894 -6.11
62.375 -19.54527 -8.6
62.75 -19.494 -11.23
63.125 -19.44639 -13.94
63.5 -19.40245 -16.56
63.875 -19.40977 -19.16
64.25 -19.40977 -21.53
64.625 -19.3585 -24.1
65 -19.3585 -26.38
65.375 -19.31089 -28.7
65.75 -19.25596 -30.9
66.125 -19.21201 -33.18
66.5 -19.16807 -35.31
66.875 -19.17173 -37.43
67.25 -19.17173 -39.32
67.625 -19.12778 -41.3
68 -19.07285 -43.29
68.375 -19.02524 -45.34
68.75 -19.03623 -47.12
69.125 -19.02158 -49.06
69.5 -18.96664 -51.08
69.875 -18.9227 -52.87
70.25 -18.87509 -54.89
70.625 -18.82748 -56.71
71 -18.79086 -58.38
71.375 -18.73959 -60.49
71.75 -18.7579 -62.31
72.125 -18.75423 -64.09
72.5 -18.71395 -65.89
72.875 -18.67 -67.82
73.25 -18.63338 -69.59
73.625 -18.64803 -71.29
74 -18.65535 -73
74.375 -18.61507 -74.75
74.75 -18.58211 -76.36
75.125 -18.54915 -78.27
75.5 -18.52351 -80.02
75.875 -18.54549 -81.69
76.25 -18.51619 -83.41
76.625 -18.55281 -84.94
77 -18.57845 -86.53
77.375 -18.55647 -88.13
77.75 -18.54183 -89.78
78.125 -18.52718 -91.39
78.5 -18.57479 -92.73
78.875 -18.60775 -94.26
79.25 -18.60042 -95.72
79.625 -18.5931 -97.24
80 -18.59676 -98.7
80.375 -18.59676 -99.72
80.75 -18.60042 -100.45
81.125 -18.61141 -99.93
81.5 -18.67733 -97.28
81.875 -18.7286 -93.22
82.25 -18.73592 -87.38
82.625 -18.76156 -81.15
83 -18.76888 -75.02
